Location,Borough,Postcode
Abbey Wood,"Bexley,  Greenwich ",SE2
Acton,"Ealing, Hammersmith and Fulham",W3
Acton,"Ealing, Hammersmith and Fulham", W4
Angel,Islington,EC1
Angel,Islington, N1
Church End,Brent,NW10
Church End,Barnet,N3
Clapham,"Lambeth, Wandsworth",SW4
Clerkenwell,Islington,EC1
Colindale,Barnet,NW9
Colliers Wood,Merton,SW19
Colney Hatch,Barnet,N11
Colney Hatch,Barnet, N10
Covent Garden,Westminster,WC2
Archway,Islington,N19
Cricklewood,"Barnet, Brent, Camden",NW2
Crofton Park,Lewisham,SE4
Crossness,Bexley,SE2
Crouch End,Haringey,N8
Crystal Palace,Bromley,SE19
Crystal Palace,Bromley, SE20
Crystal Palace,Bromley, SE26
Cubitt Town,Tower Hamlets,E14
Custom House,Newham,E16
Dalston,Hackney,E8
Dartford,Dartford,DA5
De Beauvoir Town,Islington,N1
Denmark Hill,Southwark,SE5
Deptford,Lewisham,SE8
Dollis Hill,Brent,NW2
Arkley,Barnet,EN5
Arkley,Barnet, NW7
Dulwich,Southwark,SE21
Ealing,Ealing,W5
Ealing,Ealing, W13
Earls Court,Kensington and Chelsea,SW5
Earls Court,Kensington and Chelsea, SW10
Earlsfield,Wandsworth,SW18
East Dulwich,Southwark,SE22
East Finchley,Barnet,N2
East Ham,Newham,E6
Arnos Grove,Enfield,N11
Arnos Grove,Enfield, N14
East Sheen,Richmond upon Thames,SW14
Edmonton,Enfield,N9
Edmonton,Enfield, N18
Elephant and Castle,Southwark,SE1
Elephant and Castle,Southwark, SE11
Elephant and Castle,Southwark, SE17
Balham,Wandsworth,SW12
Eltham,Greenwich,SE9
Falconwood,"Bexley, Greenwich",SE9
Falconwood,"Bexley, Greenwich", DA16
Farringdon,Islington & City,EC1
Bankside,Southwark,SE1
Finchley,Barnet,N2
Finchley,Barnet, N3
Finchley,Barnet, N12
Finsbury,Islington,EC1
Finsbury Park,"Haringey, Islington",N4
Fitzrovia,Camden,W1
Forest Gate,Newham,E7
Forest Hill,Lewisham,SE23
Fortis Green,Haringey,N10
Barbican,City,EC1
Friern Barnet,Barnet,N11
Frognal,Camden,NW3
Fulham,Hammersmith and Fulham,SW6
Gipsy Hill,Lambeth,SE19
Gipsy Hill,Lambeth, SE27
Golders Green,Barnet,NW11
Gospel Oak,Camden,NW5
Gospel Oak,Camden, NW3
Grahame Park,Barnet,NW9
Grange Park,Enfield,N21
Greenwich,Greenwich,SE10
Grove Park,Hounslow,W4
Grove Park,Lewisham,SE12
Gunnersbury,Hounslow,W4
Hackney,Hackney,E5
Hackney,Hackney, E8
Hackney,Hackney, E9
Hackney,Hackney, N1
Hackney,Hackney, N16
Hackney Central,Hackney,E8
Hackney Marshes,Hackney,E9
Hackney Wick,Hackney,E9
Haggerston,Hackney,E2
The Hale,Barnet,NW7
Hammersmith,Hammersmith and Fulham,W6
Hampstead,Camden,NW3
Hampstead Garden Suburb,Barnet,N2
Hanwell,Ealing,W7
Harlesden,Brent,NW10
Barnes,Richmond upon Thames,SW13
Harringay,Haringey,N4
Harringay,Haringey, N8
Harringay,Haringey, N15
Hendon,Barnet,NW4
Herne Hill,Lambeth,SE24
Highams Park,Waltham Forest,E4
Highbury,Islington,N5
Highgate,Camden,N6
Barnet Gate,Barnet,NW7
Barnet Gate,Barnet, EN5
Hither Green,Lewisham,SE13
Holborn,Camden,WC1
Holborn,Camden, WC2
Holland Park,Kensington and Chelsea,W8
Holland Park,Kensington and Chelsea, W11
Holland Park,Kensington and Chelsea, W14
Holloway,Islington,N7
Homerton,Hackney,E9
Honor Oak,Lewisham,SE23
Horn Park,"Greenwich, Lewisham",SE12
Hornsey,Haringey,N8
Hoxton,Hackney,N1
The Hyde,Barnet,NW9
Isle of Dogs,Tower Hamlets,E14
Islington,Islington,N1
Barnsbury,Islington,N1
Kennington,"Lambeth, Southwark",SE11
Kensal Green,Brent,NW10
Kensal Green,Brent, NW6
Kensington,Kensington and Chelsea,SW7
Kentish Town,Camden,NW5
Kenton,"Brent, Harrow",HA3
Kidbrooke,Greenwich,SE3
Kilburn,"Brent, Camden",NW6
King's Cross,Camden and Islington,WC1
Battersea,Wandsworth,SW11
Kingsbury,Brent,NW9
Kingston Vale,Kingston upon Thames,SW15
Knightsbridge,Westminster,SW1
Ladywell,Lewisham,SE4
Ladywell,Lewisham, SE13
Lambeth,Lambeth,SE1
Lea Bridge,Hackney,E10
Leamouth,Tower Hamlets,E14
Bayswater,Westminster,W2
Lee,Lewisham,SE12
Lewisham,Lewisham,SE13
Leyton,Waltham Forest,E10
Leyton,Waltham Forest, E15
Leytonstone,Waltham Forest,E11
Limehouse,Tower Hamlets,E14
Lisson Grove,Westminster,NW8
Little Ilford,Newham,E12
Little Venice,Westminster,W9
Little Venice,Westminster, W2
Beckenham,Bromley,BR3
Beckenham,Bromley, SE20
Longlands,Bexley,SE9
Longlands,Bexley, DA14
Longlands,Bexley, DA15
Lower Clapton,Hackney,E5
Maida Vale,Westminster,W9
Manor House,Hackney,N4
Manor Park,Newham,E12
Beckton,Newham,E6
Beckton,Newham, E16
Beckton,Newham, IG11
Maryland,Newham,E15
Marylebone (also St Marylebone),Westminster,W1
Mayfair,Westminster,W1
Maze Hill,Greenwich,SE10
Merton Park,Merton,SW19
Middle Park,Greenwich,SE9
Mile End,Tower Hamlets,E1
Mill Hill,Barnet,NW7
Millbank,Westminster,SW1
Millwall,Tower Hamlets,E14
Mortlake,Richmond upon Thames,SW14
Mottingham,Bromley,SE9
Muswell Hill,Haringey and Barnet,N10
Nag's Head,Islington,N7
Neasden,Brent,NW2
Neasden,Brent, NW10
New Cross,Lewisham,SE14
New Eltham,Greenwich,SE9
New Southgate,Barnet,N11
Newington,Southwark,SE1
Newington,Southwark, SE17
Nine Elms,Wandsworth,SW8
Norbury,Croydon,SW16
North Finchley,Barnet,N12
North Kensington,Kensington and Chelsea,W10
North Kensington,Kensington and Chelsea, W11
Bedford Park,Ealing,W4
North Woolwich,Newham,E16
Notting Hill,Kensington and Chelsea,W11
Nunhead,Southwark,SE15
Oakleigh Park,Barnet,N20
Old Ford,Tower Hamlets,E3
Belgravia,Westminster,SW1
Old Oak Common,Hammersmith and Fulham,NW10
Osidge,Barnet,N14
Oval,Lambeth,SW8
Oval,Lambeth, SW9
Oval,Lambeth, SE11
Paddington,Westminster,W2
Palmers Green,Enfield,N13
Park Royal,"Brent, Ealing",NW10
Parsons Green,Hammersmith and Fulham,SW6
Bellingham,Lewisham,SE6
Peckham,Southwark,SE15
Penge,Bromley,SE20
Pentonville,Islington,N1
Pimlico,Westminster,SW1
Plaistow,Newham,E13
Plumstead,Greenwich,SE18
Poplar,Tower Hamlets,E14
Primrose Hill,Camden,NW1
Primrose Hill,Camden, NW3
Primrose Hill,Camden, NW8
Putney,Wandsworth,SW15
Queen's Park,Brent,NW6
Queensbury,"Harrow, Brent",HA3
Queensbury,"Harrow, Brent", HA7
Queensbury,"Harrow, Brent", HA8
Ratcliff,Tower Hamlets,E1
Raynes Park,Merton,SW20
Roehampton,Wandsworth,SW15
Rotherhithe,Southwark,SE16
Belsize Park,Camden,NW3
Sands End,Hammersmith and Fulham,SW6
Selhurst,Croydon,SE25
Seven Sisters,Haringey,N15
Shacklewell,Hackney,E8
Shacklewell,Hackney, N16
Shadwell,Tower Hamlets,E1
Shepherd's Bush,Hammersmith and Fulham,W12
Shooter's Hill,Greenwich,SE18
Shoreditch,Hackney,N1
Silvertown,Newham,E16
Snaresbrook,"Redbridge, Waltham Forest",E11
Bermondsey,Southwark,SE1
Soho,Westminster,W1
Somerstown,Camden,NW1
South Hackney,Hackney,E9
South Kensington,Kensington and Chelsea,SW7
South Kensington,Kensington and Chelsea, SW3
South Kensington,Kensington and Chelsea, SW5
South Norwood,Croydon,SE25
South Wimbledon,Merton,SW19
South Woodford,Redbridge,E18
South Tottenham,Haringey,N15
South Tottenham,Haringey, N17
Southend,Lewisham,SE6
Southfields,Wandsworth,SW18
Southfields,Wandsworth, SW19
Southgate,Enfield,N14
Spitalfields,Tower Hamlets,E1
St James's,Westminster,SW1
Bethnal Green,Tower Hamlets,E2
St Giles,Camden,WC2
St Johns,Lewisham,SE4
St John's Wood,Westminster,NW8
St Luke's,Islington,EC1
St Pancras,Camden,WC1
Stamford Hill,Hackney,N15
Stamford Hill,Hackney, N16
Stepney,Tower Hamlets,E1
Stockwell,Lambeth,SW8
Stockwell,Lambeth, SW9
Stoke Newington,Hackney,N16
Stonebridge,Brent,NW10
Stratford,Newham,E15
Streatham,Lambeth,SW16
Stroud Green,Haringey,N4
Bexleyheath (also Bexley New Town),Bexley,DA6
Bexleyheath (also Bexley New Town),Bexley, DA7
Bexleyheath (also Bexley New Town),Bexley, SE2
Surrey Quays,Southwark,SE16
Swiss Cottage,Camden,NW3
"Sydenham (also Lower Sydenham, Upper Sydenham)","Lewisham, Bromley",SE26
Sydenham Hill,"Lewisham, Southwark",SE21
Sydenham Hill,"Lewisham, Southwark", SE26
Temple,"City, Westminster",EC4
Temple,"City, Westminster", WC2
Thamesmead,"Bexley, Greenwich",SE28
Thamesmead,"Bexley, Greenwich", SE2
Thamesmead,"Bexley, Greenwich", DA18
Tooting,Wandsworth,SW17
Tooting Bec,Wandsworth,SW17
Tottenham,Haringey,N15
Tottenham,Haringey, N17
Tottenham Green,Haringey,N15
Tottenham Hale,Haringey,N15
Tottenham Hale,Haringey, N17
Totteridge,Barnet,N20
Tower Hill,Tower Hamlets,EC3
Tufnell Park,"Islington, Camden",N7
Tufnell Park,"Islington, Camden", N19
Tulse Hill,Lambeth,SE24
Tulse Hill,Lambeth, SE27
Turnpike Lane,Haringey,N8
Upper Clapton,Hackney,E5
Upper Holloway,Islington,N19
Upper Norwood,Croydon,SE19
Upper Walthamstow,Waltham Forest,E17
Upton Park,Newham,E6
Upton Park,Newham, E13
Vauxhall,Lambeth,SW8
Walthamstow,Waltham Forest,E17
Walthamstow Village,Waltham Forest,E17
Walworth,Southwark,SE17
Blackfriars,City,EC4
Wandsworth,Wandsworth,SW18
Wanstead,Redbridge,E11
Wapping,Tower Hamlets,E1
Well Hall,Greenwich,SE9
West Brompton,Kensington and Chelsea,SW10
Blackheath,Lewisham,SE3
West Ealing,Ealing,W13
West Green,Haringey,N15
West Hackney,Hackney,N16
West Ham,Newham,E13
West Ham,Newham, E15
West Hampstead,Camden,NW6
West Heath,Bexley,SE2
West Hendon,Barnet,NW9
West Kensington,Hammersmith and Fulham,W14
Blackheath Royal Standard,Greenwich,SE3
Blackheath Royal Standard,Greenwich, SE12
West Norwood,Lambeth,SE27
Westcombe Park,Greenwich,SE3
Westminster,Westminster,SW1
Whetstone,Barnet,N20
White City,Hammersmith and Fulham,W12
Whitechapel,Tower Hamlets,E1
Willesden,Brent,NW10
Blackwall,Tower Hamlets,E14
Wimbledon,Merton,SW19
Wimbledon,Merton, SW20
Winchmore Hill,Enfield,N21
Wood Green,Haringey,N22
Woodford,Redbridge,IG8
Woodford,Redbridge, E18
Woodford Green,"Redbridge, Waltham Forest",IG8
Woodside Park,Barnet,N12
Woolwich,Greenwich,SE18
Wormwood Scrubs,Hammersmith and Fulham,W12
Bloomsbury,Camden,WC1
Bounds Green,Haringey,N11
Bounds Green,Haringey, N22
Bow,Tower Hamlets,E3
Bowes Park,Haringey,N22
Aldgate,City,EC3
Brent Cross,Barnet,NW2
Brent Cross,Barnet, NW4
Brent Park,Brent,NW10
Brixton,Lambeth,SW2
Brixton,Lambeth, SW9
Brixton,Lambeth, SE5
Brockley,Lewisham,SE4
Bromley (also Bromley-by-Bow),Tower Hamlets,E3
Brompton,Kensington and ChelseaHammersmith and Fulham,SW3
Brondesbury,Brent,NW6
Aldwych,Westminster,WC2
Brunswick Park,Barnet,N11
"Burroughs, The",Barnet,NW4
Camberwell,Southwark,SE5
Cambridge Heath,Tower Hamlets,E2
Camden Town,Camden,NW1
Canary Wharf,Tower Hamlets,E14
Cann Hall,Waltham Forest,E11
Canning Town,Newham,E16
Canonbury,Islington,N1
Castelnau,Richmond upon Thames,SW13
Catford,Lewisham,SE6
Chalk Farm,Camden,NW1
Charing Cross,Westminster,WC2
Charlton,Greenwich,SE7
Anerley,Bromley,SE20
Chelsea,Kensington and Chelsea,SW3
Childs Hill,Barnet,NW2
Chinatown,Westminster,W1
Chinbrook,Lewisham,SE12
Chingford,Waltham Forest,E4
Chiswick,"Hounslow, Ealing, Hammersmith and Fulham",W4
